group,species
dragonflies,Aeshna mixta
dragonflies,Aeshna subarctica
dragonflies,Anax ephippiger
dragonflies,Anax imperator
dragonflies,Anax parthenope
dragonflies,Boyeria irene
dragonflies,Brachytron pratense
dragonflies,Calopteryx splendens
dragonflies,Calopteryx virgo
dragonflies,Ceriagrion tenellum
dragonflies,Chalcolestes viridis
dragonflies,Coenagrion hastulatum
dragonflies,Coenagrion mercuriale
dragonflies,Coenagrion puella
dragonflies,Coenagrion pulchellum
dragonflies,Coenagrion scitulum
dragonflies,Cordulegaster bidentata
dragonflies,Cordulegaster boltonii
dragonflies,Cordulia aenea
dragonflies,Crocothemis erythraea
dragonflies,Enallagma cyathigerum
dragonflies,Epitheca bimaculata
dragonflies,Erythromma lindenii
dragonflies,Erythromma najas
dragonflies,Erythromma viridulum
dragonflies,Gomphus pulchellus
dragonflies,Gomphus simillimus
dragonflies,Gomphus vulgatissimus
dragonflies,Ischnura elegans
dragonflies,Ischnura pumilio
dragonflies,Lestes barbarus
dragonflies,Lestes dryas
dragonflies,Lestes sponsa
dragonflies,Lestes virens
dragonflies,Leucorrhinia albifrons
dragonflies,Leucorrhinia caudalis
dragonflies,Leucorrhinia dubia
dragonflies,Leucorrhinia pectoralis
dragonflies,Libellula depressa
dragonflies,Libellula fulva
dragonflies,Libellula quadrimaculata
dragonflies,Nehalennia speciosa
dragonflies,Onychogomphus forcipatus
dragonflies,Ophiogomphus cecilia
dragonflies,Orthetrum albistylum
dragonflies,Orthetrum brunneum
dragonflies,Orthetrum cancellatum
dragonflies,Orthetrum coerulescens
dragonflies,Oxygastra curtisii
dragonflies,Platycnemis pennipes
dragonflies,Pyrrhosoma nymphula
dragonflies,Somatochlora alpestris
dragonflies,Somatochlora arctica
dragonflies,Somatochlora flavomaculata
dragonflies,Somatochlora metallica
dragonflies,Sympecma fusca
dragonflies,Sympecma paedisca
dragonflies,Sympetrum danae
dragonflies,Sympetrum depressiusculum
dragonflies,Sympetrum flaveolum
dragonflies,Sympetrum fonscolombii
dragonflies,Sympetrum meridionale
dragonflies,Sympetrum pedemontanum
